"o1"	"name"	"birthYear"
"http://dbpedia.org/resource/Michael_Allen_Fox"	"University of Toronto"	1940
"http://dbpedia.org/resource/Kathleen_Barry"	"University of California, Berkeley"	1941
"http://dbpedia.org/resource/Hayao_Miyazaki"	"Gakushuin University"	1941
"http://dbpedia.org/resource/Laura_Mulvey"	"St Hilda's College, Oxford"	1941
"http://dbpedia.org/resource/Julia_Kristeva"	"University of Sofia"	1941
"http://dbpedia.org/resource/Richard_Dawkins"	"University of Oxford"	1941
"http://dbpedia.org/resource/Richard_Dawkins"	"Master of Arts"	1941
"http://dbpedia.org/resource/Richard_Dawkins"	"Doctor of Philosophy"	1941
"http://dbpedia.org/resource/Richard_Dawkins"	"Doctor of Science"	1941
"http://dbpedia.org/resource/Annette_Kolodny"	"University of California, Berkeley"	1941
"http://dbpedia.org/resource/Annette_Kolodny"	"Brooklyn College"	1941
"http://dbpedia.org/resource/Jacqueline_Winsor"	"Massachusetts College of Art and Design"	1941
"http://dbpedia.org/resource/Jacqueline_Winsor"	"Rutgers University"	1941
"http://dbpedia.org/resource/Clara_Sue_Kidwell"	"University of Oklahoma"	1941
"http://dbpedia.org/resource/Elizabeth_Anne_Reid"	"Australian National University"	1942
"http://dbpedia.org/resource/Elizabeth_Anne_Reid"	"Somerville College, Oxford"	1942
"http://dbpedia.org/resource/Gayatri_Chakravorty_Spivak"	"University of Calcutta"	1942
"http://dbpedia.org/resource/Emma_Baeri"	"University of Catania"	1942
"http://dbpedia.org/resource/Moshe_Meiselman"	"Massachusetts Institute of Technology"	1942
"http://dbpedia.org/resource/Annie_Sugier"	"Paris-Saclay University"	1942
"http://dbpedia.org/resource/Moshe_Meiselman"	"Harvard University"	1942
"http://dbpedia.org/resource/Annie_Sugier"	"Paris-Saclay Faculty of Sciences"	1942
"http://dbpedia.org/resource/Moshe_Meiselman"	"Boston Latin"	1942
"http://dbpedia.org/resource/Fadhila_Chitour"	"University of Algiers"	1942
"http://dbpedia.org/resource/Himani_Bannerji"	"University of Toronto"	1942
"http://dbpedia.org/resource/Himani_Bannerji"	"Visva-Bharati University"	1942
"http://dbpedia.org/resource/Himani_Bannerji"	"Jadavpur University"	1942
"http://dbpedia.org/resource/Michael_Savage"	"Queens College, City University of New York"	1942
"http://dbpedia.org/resource/Michael_Savage"	"University of California, Berkeley"	1942
"http://dbpedia.org/resource/Michael_Savage"	"University of Hawaii at Manoa"	1942
"http://dbpedia.org/resource/Michael_Savage"	"Master of Arts"	1942
