"o1"	"name"	"birthYear"
"http://dbpedia.org/resource/Zamfir_Arbore"	"Zamfir Arbore"	1848
"http://dbpedia.org/resource/Alice_James"	"Alice James"	1848
"http://dbpedia.org/resource/Guido_von_List"	"Guido von List"	1848
"http://dbpedia.org/resource/Virginia_Hewlett_Douglass"	"Virginia Hewlett Douglass"	1849
"http://dbpedia.org/resource/Sibylle_Riqueti_de_Mirabeau"	"Sibylle Riqueti de Mirabeau"	1849
"http://dbpedia.org/resource/Eveline_Willett_Cunnington"	"Eveline Willett Cunnington"	1849
"http://dbpedia.org/resource/Mary_Baker_McQuesten"	"Mary Baker McQuesten"	1849
"http://dbpedia.org/resource/Agda_Montelius"	"Agda Montelius"	1850
"http://dbpedia.org/resource/Jane_Ellen_Harrison"	"Jane Ellen Harrison"	1850
"http://dbpedia.org/resource/Edward_Bellamy"	"Edward Bellamy"	1850
"http://dbpedia.org/resource/Ann-Margret_Holmgren"	"Ann-Margret Holmgren"	1850
"http://dbpedia.org/resource/Auguste_Hauschner"	"Auguste Hauschner"	1850
"http://dbpedia.org/resource/Helene_von_Mülinen"	"Helene von Mülinen"	1850
"http://dbpedia.org/resource/Henriëtte_van_der_Meij"	"Henriëtte van der Meij"	1850
"http://dbpedia.org/resource/Isabella_May"	"Isabella May"	1850
"http://dbpedia.org/resource/Olga_Shapir"	"Olga Shapir"	1850
"http://dbpedia.org/resource/Ruth_Homan"	"Ruth Homan"	1850
"http://dbpedia.org/resource/Frigga_Carlberg"	"Frigga Carlberg"	1851
"http://dbpedia.org/resource/Randi_Blehr"	"Randi Blehr"	1851
"http://dbpedia.org/resource/Jane_Dieulafoy"	"Jane Dieulafoy"	1851
"http://dbpedia.org/resource/Octave_Uzanne"	"Octave Uzanne"	1851
"http://dbpedia.org/resource/Anna_Whitlock"	"Anna Whitlock"	1852
"http://dbpedia.org/resource/Astrid_Stampe_Feddersen"	"Astrid Stampe Feddersen"	1852
"http://dbpedia.org/resource/Franc_Roads"	"Franc Roads"	1852
"http://dbpedia.org/resource/Gertrud_Adelborg"	"Gertrud Adelborg"	1853
"http://dbpedia.org/resource/Anette_Poelman"	"Anette Poelman"	1853
"http://dbpedia.org/resource/Clementina_Black"	"Clementina Black"	1853
"http://dbpedia.org/resource/Alva_Belmont"	"Alva Belmont"	1853
"http://dbpedia.org/resource/Helen_H._Gardener"	"Helen H. Gardener"	1853
"http://dbpedia.org/resource/Marguerite_de_Witt-Schlumberger"	"Marguerite de Witt-Schlumberger"	1853
"http://dbpedia.org/resource/Maria_Benedita_Bormann"	"Maria Benedita Bormann"	1853
"http://dbpedia.org/resource/Anna_Sandström"	"Anna Sandström"	1854
"http://dbpedia.org/resource/Aletta_Jacobs"	"Aletta Jacobs"	1854
"http://dbpedia.org/resource/Edith_Archibald"	"Edith Archibald"	1854
"http://dbpedia.org/resource/Charlotte_Wilson"	"Charlotte Wilson"	1854
"http://dbpedia.org/resource/María_Luisa_Dolz"	"María Luisa Dolz"	1854
"http://dbpedia.org/resource/Emma_Pieczynska-Reichenbach"	"Emma Pieczynska-Reichenbach"	1854
"http://dbpedia.org/resource/Mona_Caird"	"Mona Caird"	1854
"http://dbpedia.org/resource/Etta_Semple"	"Etta Semple"	1854
"http://dbpedia.org/resource/Auguste_Fickert"	"Auguste Fickert"	1855
"http://dbpedia.org/resource/Draga_Ljočić"	"Draga Ljočić"	1855
"http://dbpedia.org/resource/Charlotte_Norrie"	"Charlotte Norrie"	1855
"http://dbpedia.org/resource/Marie_Stritt"	"Marie Stritt"	1855
"http://dbpedia.org/resource/Caroline_Rémy_de_Guebhard"	"Caroline Rémy de Guebhard"	1855
"http://dbpedia.org/resource/Eleanor_Marx"	"Eleanor Marx"	1855
"http://dbpedia.org/resource/Isabella_Ford"	"Isabella Ford"	1855
"http://dbpedia.org/resource/Olive_Schreiner"	"Olive Schreiner"	1855
"http://dbpedia.org/resource/Robert_M._La_Follette"	"Robert M. La Follette"	1855
"http://dbpedia.org/resource/Houston_Stewart_Chamberlain"	"Houston Stewart Chamberlain"	1855
"http://dbpedia.org/resource/Evelyn_De_Morgan"	"Evelyn De Morgan"	1855
"http://dbpedia.org/resource/Lady_Florence_Dixie"	"Lady Florence Dixie"	1855
"http://dbpedia.org/resource/Carolina_Benedicks-Bruce"	"Carolina Benedicks-Bruce"	1856
"http://dbpedia.org/resource/Clara_Tschudi"	"Clara Tschudi"	1856
"http://dbpedia.org/resource/Eliza_Ritchie"	"Eliza Ritchie"	1856
"http://dbpedia.org/resource/Harriot_Stanton_Blatch"	"Harriot Stanton Blatch"	1856
"http://dbpedia.org/resource/José_Batlle_y_Ordóñez"	"José Batlle y Ordóñez"	1856
"http://dbpedia.org/resource/Karolina_Widerström"	"Karolina Widerström"	1856
"http://dbpedia.org/resource/Sigmund_Freud"	"Sigmund Freud"	1856
"http://dbpedia.org/resource/Clara_Zetkin"	"Clara Zetkin"	1857
"http://dbpedia.org/resource/Ida_Schmidt"	"Ida Schmidt"	1857
"http://dbpedia.org/resource/Alice_Stone_Blackwell"	"Alice Stone Blackwell"	1857
"http://dbpedia.org/resource/Hilda_Sachs"	"Hilda Sachs"	1857
"http://dbpedia.org/resource/Aadel_Lampe"	"Aadel Lampe"	1857
"http://dbpedia.org/resource/Mary_Sargant_Florence"	"Mary Sargant Florence"	1857
"http://dbpedia.org/resource/Thorstein_Veblen"	"Thorstein Veblen"	1857
"http://dbpedia.org/resource/Anna_Kuliscioff"	"Anna Kuliscioff"	1857
"http://dbpedia.org/resource/M._Carey_Thomas"	"M. Carey Thomas"	1857
"http://dbpedia.org/resource/Alice_Henry"	"Alice Henry"	1857
"http://dbpedia.org/resource/Charles_Sheldon"	"Charles Sheldon"	1857
"http://dbpedia.org/resource/Ida_Tarbell"	"Ida Tarbell"	1857
"http://dbpedia.org/resource/Yda_Hillis_Addis"	"Yda Hillis Addis"	1857
"http://dbpedia.org/resource/Bella_Guerin"	"Bella Guerin"	1858
"http://dbpedia.org/resource/Emmeline_Pankhurst"	"Emmeline Pankhurst"	1858
"http://dbpedia.org/resource/Rosa_Mayreder"	"Rosa Mayreder"	1858
"http://dbpedia.org/resource/Anna_J._Cooper"	"Anna J. Cooper"	1858
"http://dbpedia.org/resource/Kang_Youwei"	"Kang Youwei"	1858
"http://dbpedia.org/resource/Marie_Bashkirtseff"	"Marie Bashkirtseff"	1858
"http://dbpedia.org/resource/Rachel_Foster_Avery"	"Rachel Foster Avery"	1858
"http://dbpedia.org/resource/Sara_Adler"	"Sara Adler"	1858
"http://dbpedia.org/resource/Helen_Churchill_Candee"	"Helen Churchill Candee"	1858
"http://dbpedia.org/resource/Sophie_Holten"	"Sophie Holten"	1858
"http://dbpedia.org/resource/Carrie_Chapman_Catt"	"Carrie Chapman Catt"	1859
"http://dbpedia.org/resource/Bertha_Pappenheim"	"Bertha Pappenheim"	1859
"http://dbpedia.org/resource/Eline_Hansen"	"Eline Hansen"	1859
"http://dbpedia.org/resource/Blanca_de_los_Ríos"	"Blanca de los Ríos"	1859
"http://dbpedia.org/resource/Pauline_Savari"	"Pauline Savari"	1859
"http://dbpedia.org/resource/Christian_von_Ehrenfels"	"Christian von Ehrenfels"	1859
"http://dbpedia.org/resource/Annie_S._Swan"	"Annie S. Swan"	1859
"http://dbpedia.org/resource/Henrietta_Rae"	"Henrietta Rae"	1859
"http://dbpedia.org/resource/Cecilia_Grierson"	"Cecilia Grierson"	1859
"http://dbpedia.org/resource/Luise_Koch"	"Luise Koch"	1860
"http://dbpedia.org/resource/Jane_Addams"	"Jane Addams"	1860
"http://dbpedia.org/resource/Maria_Baiulescu"	"Maria Baiulescu"	1860
"http://dbpedia.org/resource/Roosje_Vos"	"Roosje Vos"	1860
"http://dbpedia.org/resource/Charlotte_Perkins_Gilman"	"Charlotte Perkins Gilman"	1860
"http://dbpedia.org/resource/Ella_Knowles_Haskell"	"Ella Knowles Haskell"	1860
"http://dbpedia.org/resource/Hind_Nawfal"	"Hind Nawfal"	1860
"http://dbpedia.org/resource/Fredrikke_Mørck"	"Fredrikke Mørck"	1861
"http://dbpedia.org/resource/Laura_Borden"	"Laura Borden"	1861
"http://dbpedia.org/resource/Mary_Hynes_Swanton"	"Mary Hynes Swanton"	1861
"http://dbpedia.org/resource/Ethel_Bentham"	"Ethel Bentham"	1861
"http://dbpedia.org/resource/Alfred_North_Whitehead"	"Alfred North Whitehead"	1861
"http://dbpedia.org/resource/Henriette_Fürth"	"Henriette Fürth"	1861
"http://dbpedia.org/resource/Margaret_Llewelyn_Davies"	"Margaret Llewelyn Davies"	1861
"http://dbpedia.org/resource/Sofía_Casanova"	"Sofía Casanova"	1861
"http://dbpedia.org/resource/Christina_Henderson"	"Christina Henderson"	1861
"http://dbpedia.org/resource/Emilie_Rathou"	"Emilie Rathou"	1862
"http://dbpedia.org/resource/Ida_B._Wells"	"Ida B. Wells"	1862
"http://dbpedia.org/resource/Ellen_Sandelin"	"Ellen Sandelin"	1862
"http://dbpedia.org/resource/Wil_van_Gogh"	"Wil van Gogh"	1862
"http://dbpedia.org/resource/Alice_Constance_Austin"	"Alice Constance Austin"	1862
"http://dbpedia.org/resource/Alma_Bridwell_White"	"Alma Bridwell White"	1862
"http://dbpedia.org/resource/Lucina_Hagman"	"Lucina Hagman"	1863
"http://dbpedia.org/resource/Edward_Bok"	"Edward Bok"	1863
"http://dbpedia.org/resource/Jamil_Sidqi_al-Zahawi"	"Jamil Sidqi al-Zahawi"	1863
"http://dbpedia.org/resource/Mary_Isabel_Fraser"	"Mary Isabel Fraser"	1863
"http://dbpedia.org/resource/Helena_Swanwick"	"Helena Swanwick"	1864
"http://dbpedia.org/resource/Marguerite_Durand"	"Marguerite Durand"	1864
"http://dbpedia.org/resource/Roman_Dmowski"	"Roman Dmowski"	1864
"http://dbpedia.org/resource/Rukhmabai"	"Rukhmabai"	1864
"http://dbpedia.org/resource/Tsuda_Umeko"	"Tsuda Umeko"	1864
"http://dbpedia.org/resource/Helena_Patursson"	"Helena Patursson"	1864
"http://dbpedia.org/resource/Kate_Austin"	"Kate Austin"	1864
"http://dbpedia.org/resource/Marie_Eugenie_Delle_Grazie"	"Marie Eugenie Delle Grazie"	1864
"http://dbpedia.org/resource/Fredrikke_Waaler"	"Fredrikke Waaler"	1865
