"fk_personne","nom","annee_nais","fk_uni","universite"
http://www.wikidata.org/entity/Q68549608,Yasmin Benoit,1996,http://www.wikidata.org/entity/Q2321391,"St Mary's University, Twickenham"
http://www.wikidata.org/entity/Q113251749,George Broadhead,1933,http://www.wikidata.org/entity/Q7594979,"St Ninian's High School, Douglas"
http://www.wikidata.org/entity/Q6967124,Nasir Aslam Zahid,1935,http://www.wikidata.org/entity/Q6767341,"St Patrick's High School, Karachi"
http://www.wikidata.org/entity/Q2242454,Tajudeen Abdul-Raheem,1961,http://www.wikidata.org/entity/Q2487322,St Peter's College
http://www.wikidata.org/entity/Q19673,Al Gore,1948,http://www.wikidata.org/entity/Q7586750,St. Albans School
http://www.wikidata.org/entity/Q5331492,Eban Goodstein,1960,http://www.wikidata.org/entity/Q7586814,St. Andrew's-Sewanee School
http://www.wikidata.org/entity/Q116975309,Achebe Betty Powell,1940,http://www.wikidata.org/entity/Q3444427,St. Catherine University
http://www.wikidata.org/entity/Q6163226,Jason Paul Collum,1973,http://www.wikidata.org/entity/Q7587431,St. Catherine's High School
http://www.wikidata.org/entity/Q117769678,Olesia Arkhipova,1990,http://www.wikidata.org/entity/Q9364612,St. Clement Ukrainian Catholic University in Rome
http://www.wikidata.org/entity/Q7668368,T. J. Parsell,1960,http://www.wikidata.org/entity/Q530424,St. Francis College
http://www.wikidata.org/entity/Q236606,Naomi Klein,1970,http://www.wikidata.org/entity/Q7588173,St. George's School of Montreal
http://www.wikidata.org/entity/Q6755568,Marc Garlasco,1970,http://www.wikidata.org/entity/Q1138374,St. John's University
http://www.wikidata.org/entity/Q124813450,Brendan Fay,1958,http://www.wikidata.org/entity/Q1138374,St. John's University
http://www.wikidata.org/entity/Q7088941,Olympia Brown,1835,http://www.wikidata.org/entity/Q1411093,St. Lawrence University
http://www.wikidata.org/entity/Q43033,Desmond Tutu,1931,http://www.wikidata.org/entity/Q7590026,St. Martin's School
http://www.wikidata.org/entity/Q6763480,Marilou McPhedran,1951,http://www.wikidata.org/entity/Q3551675,St. Michael's College
