item,itemLabel,occupation,occupationLabel
http://www.wikidata.org/entity/Q4346827,Sophie Adlersparre,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q303708,Aasta Hansteen,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q303708,Aasta Hansteen,http://www.wikidata.org/entity/Q1028181,painter
http://www.wikidata.org/entity/Q303708,Aasta Hansteen,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,http://www.wikidata.org/entity/Q82955,politician
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,http://www.wikidata.org/entity/Q1607826,editor
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,http://www.wikidata.org/entity/Q1780490,communard
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,http://www.wikidata.org/entity/Q3242115,revolutionary
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,http://www.wikidata.org/entity/Q6625963,novelist
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,http://www.wikidata.org/entity/Q12359071,anarchist
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,http://www.wikidata.org/entity/Q34074720,feminist
http://www.wikidata.org/entity/Q6152528,Maria Atkinson,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q2527809,Virginie Barbet,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q2527809,Virginie Barbet,http://www.wikidata.org/entity/Q12359071,anarchist
http://www.wikidata.org/entity/Q2527809,Virginie Barbet,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q3189140,Julie-Victoire Daubié,http://www.wikidata.org/entity/Q188094,economist
http://www.wikidata.org/entity/Q3189140,Julie-Victoire Daubié,http://www.wikidata.org/entity/Q736415,conferencier
http://www.wikidata.org/entity/Q3189140,Julie-Victoire Daubié,http://www.wikidata.org/entity/Q1086863,columnist
http://www.wikidata.org/entity/Q3189140,Julie-Victoire Daubié,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q18917208,Amelia Freund,http://www.wikidata.org/entity/Q1607826,editor
http://www.wikidata.org/entity/Q18917208,Amelia Freund,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q85086830,Therese Bacon,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q3946147,Salvatore Morelli,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q3946147,Salvatore Morelli,http://www.wikidata.org/entity/Q82955,politician
http://www.wikidata.org/entity/Q3946147,Salvatore Morelli,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q3946147,Salvatore Morelli,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q5478699,Frances Ellen Watkins Harper,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q5478699,Frances Ellen Watkins Harper,http://www.wikidata.org/entity/Q49757,poet
http://www.wikidata.org/entity/Q5478699,Frances Ellen Watkins Harper,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q5478699,Frances Ellen Watkins Harper,http://www.wikidata.org/entity/Q6625963,novelist
http://www.wikidata.org/entity/Q5478699,Frances Ellen Watkins Harper,http://www.wikidata.org/entity/Q9379869,lecturer
http://www.wikidata.org/entity/Q5478699,Frances Ellen Watkins Harper,http://www.wikidata.org/entity/Q15949613,short story writer
http://www.wikidata.org/entity/Q5478699,Frances Ellen Watkins Harper,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q5478699,Frances Ellen Watkins Harper,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q60318,Karl Heinrich Ulrichs,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q60318,Karl Heinrich Ulrichs,http://www.wikidata.org/entity/Q185351,jurist
http://www.wikidata.org/entity/Q60318,Karl Heinrich Ulrichs,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q60318,Karl Heinrich Ulrichs,http://www.wikidata.org/entity/Q19509201,LGBTQI+ rights activist
http://www.wikidata.org/entity/Q5718725,Henry Browne Blackwell,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q5718725,Henry Browne Blackwell,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q542217,Catherine Spence,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q542217,Catherine Spence,http://www.wikidata.org/entity/Q322170,suffragette
http://www.wikidata.org/entity/Q542217,Catherine Spence,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q542217,Catherine Spence,http://www.wikidata.org/entity/Q6430706,critic
http://www.wikidata.org/entity/Q542217,Catherine Spence,http://www.wikidata.org/entity/Q6625963,novelist
http://www.wikidata.org/entity/Q542217,Catherine Spence,http://www.wikidata.org/entity/Q18814623,autobiographer
http://www.wikidata.org/entity/Q542217,Catherine Spence,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q542217,Catherine Spence,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q546568,Klára Leövey,http://www.wikidata.org/entity/Q974144,educator
http://www.wikidata.org/entity/Q546568,Klára Leövey,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q546568,Klára Leövey,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q2706181,Nathalie Lemel,http://www.wikidata.org/entity/Q82955,politician
http://www.wikidata.org/entity/Q2706181,Nathalie Lemel,http://www.wikidata.org/entity/Q1413170,bookbinder
http://www.wikidata.org/entity/Q2706181,Nathalie Lemel,http://www.wikidata.org/entity/Q1780490,communard
http://www.wikidata.org/entity/Q2706181,Nathalie Lemel,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q19754707,Anna Maria Gesina Bosscha,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q3119366,Matilda Joslyn Gage,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q3119366,Matilda Joslyn Gage,http://www.wikidata.org/entity/Q1607826,editor
http://www.wikidata.org/entity/Q3119366,Matilda Joslyn Gage,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q3119366,Matilda Joslyn Gage,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q3119366,Matilda Joslyn Gage,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q7320840,Rhoda Coffin,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q7320840,Rhoda Coffin,http://www.wikidata.org/entity/Q11774156,memoirist
http://www.wikidata.org/entity/Q7320840,Rhoda Coffin,http://www.wikidata.org/entity/Q15253558,activist
http://www.wikidata.org/entity/Q7320840,Rhoda Coffin,http://www.wikidata.org/entity/Q16611574,social reformer
http://www.wikidata.org/entity/Q7320840,Rhoda Coffin,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q7320840,Rhoda Coffin,http://www.wikidata.org/entity/Q97621558,temperance worker
http://www.wikidata.org/entity/Q1897348,Marie Goegg-Pouchoulin,http://www.wikidata.org/entity/Q82955,politician
http://www.wikidata.org/entity/Q1897348,Marie Goegg-Pouchoulin,http://www.wikidata.org/entity/Q1607826,editor
http://www.wikidata.org/entity/Q1897348,Marie Goegg-Pouchoulin,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q1897348,Marie Goegg-Pouchoulin,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q4410933,Adelaïde Ehrnrooth,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q4410933,Adelaïde Ehrnrooth,http://www.wikidata.org/entity/Q1607826,editor
http://www.wikidata.org/entity/Q4410933,Adelaïde Ehrnrooth,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q20559490,Þorbjörg Sveinsdóttir,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,http://www.wikidata.org/entity/Q188094,economist
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,http://www.wikidata.org/entity/Q483501,artist
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,http://www.wikidata.org/entity/Q1028181,painter
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,http://www.wikidata.org/entity/Q1231865,pedagogue
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,http://www.wikidata.org/entity/Q3068305,salonnière
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,http://www.wikidata.org/entity/Q34074720,feminist
http://www.wikidata.org/entity/Q3106881,Giorgina Janet Craufurd,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q3106881,Giorgina Janet Craufurd,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q3106881,Giorgina Janet Craufurd,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q18762034,Margaret Parker,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q18762034,Margaret Parker,http://www.wikidata.org/entity/Q322170,suffragette
http://www.wikidata.org/entity/Q18762034,Margaret Parker,http://www.wikidata.org/entity/Q8359428,social activist
