"annee_naissance","fk_lieu","lieu_naissance","geo_coord"
1842,http://www.wikidata.org/entity/Q1741,Vienna,Point(16.3725 48.208333333)
1842,http://www.wikidata.org/entity/Q1735037,Kaskinen,Point(21.222222222 62.384722222)
1842,http://www.wikidata.org/entity/Q118958,Leuven,Point(4.704444 50.8775)
1842,http://www.wikidata.org/entity/Q1554942,Guntershausen bei Berg,Point(9.18837 47.572)
1842,http://www.wikidata.org/entity/Q597,Lisbon,Point(-9.139016 38.708042)
1842,http://www.wikidata.org/entity/Q3047556,Edgbaston,Point(-1.919047222 52.45805)
1842,http://www.wikidata.org/entity/Q279727,Saint Clair,Point(-90.982777777 38.349722222)
1843,http://www.wikidata.org/entity/Q1925015,Cadiz,Point(-80.99556 40.27056)
1843,http://www.wikidata.org/entity/Q4588876,Jelsa,Point(6.034277777 59.335527777)
1843,http://www.wikidata.org/entity/Q60,New York City,Point(-74.0 40.7)
1843,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
1843,http://www.wikidata.org/entity/Q1748,Copenhagen,Point(12.568888888 55.676111111)
1843,http://www.wikidata.org/entity/Q63922,Vernier,Point(6.1 46.2)
1844,http://www.wikidata.org/entity/Q597,Lisbon,Point(-9.139016 38.708042)
1844,http://www.wikidata.org/entity/Q980847,São Julião,Point(-8.89631 38.53487)
1844,http://www.wikidata.org/entity/Q980847,São Julião,Point(-8.894722222 38.533888888)
1844,http://www.wikidata.org/entity/Q1757,Helsinki,Point(24.9375 60.170833333)
1844,http://www.wikidata.org/entity/Q231720,Honfleur,Point(0.233055555 49.418888888)
1844,http://www.wikidata.org/entity/Q690062,Rønne,Point(14.7 55.1)
1844,http://www.wikidata.org/entity/Q182877,Greenfield,Point(-87.995833333 42.963055555)
1844,http://www.wikidata.org/entity/Q627872,Le Lude,Point(0.153055555 47.645)
1844,http://www.wikidata.org/entity/Q40435,Buffalo,Point(-78.878055555 42.886388888)
