"generations","lieu_naissance","geo_coord","effectif"
"1851-1875",Hardenburg,Point(8.12384 49.4632),1
"1851-1875",Ruse,Point(25.953907 43.844532),1
"1851-1875",Port Melbourne,Point(144.911111111 -37.823888888),1
"1851-1875",St Giles,Point(-0.127 51.5143),1
"1851-1875",Holsted Parish,Point(8.91388889 55.51222222),1
"1851-1875",Kalvehave Parish,Point(12.14416667 54.99769444),1
"1851-1875",Altona,Point(9.9333 53.55),1
"1851-1875",Mureck,Point(15.772777777 46.708611111),1
"1851-1875",Joroinen,Point(27.82777778 62.17916667),1
"1851-1875",Hrappsey,Point(-22.596946844 65.119270548),1
"1851-1875",Hrappsey,Point(-22.6 65.116666666),1
"1851-1875",Hrappsey,Point(-22.6 65.11666667),1
"1851-1875",Mérida,Point(-89.62 20.97),1
"1851-1875",Jilava,Point(26.090744 44.343628),1
"1851-1875",Memphis,Point(-89.971111111 35.1175),1
"1851-1875",Portland,Point(141.60257 -38.3462),1
"1851-1875",Inzersdorf,Point(16.3494 48.1426),1
"1851-1875",Potsdam,Point(13.066666666 52.4),1
"1851-1875",Austre Moland prestegård,Point(8.811083 58.548337),1
"1851-1875",Magdeburg,Point(11.6399609 52.1315889),1
"1851-1875",Sussex Gardens,Point(-0.17272 51.5151),1
"1851-1875",Vienna,Point(16.3725 48.208333333),3
"1851-1875",Copenhagen,Point(12.568888888 55.676111111),8
"1851-1875",Stockholm,Point(18.068611111 59.329444444),2
"1851-1875",Helsinki,Point(24.9375 60.170833333),1
"1851-1875",Newton Heath,Point(-2.1833 53.4999),1
"1851-1875",Dublin,Point(-6.260277777 53.349722222),1
"1851-1875",Bratislava,Point(17.112777777 48.144722222),1
"1851-1875",Ballarat,Point(143.8475 -37.560833333),1
"1851-1875",Gdańsk,Point(18.6540233 54.3482907),1
"1851-1875",County Sligo,Point(-8.666666666 54.25),1
"1851-1875",Frankfurt,Point(8.682222222 50.110555555),1
"1851-1875",Köthen,Point(11.973611111 51.751111111),1
"1851-1875",Wrocław,Point(17.0325 51.11),1
"1851-1875",Saint-Mandé,Point(2.417777777 48.841388888),1
"1851-1875",Auburn,Point(-95.8167 38.9067),1
"1851-1875",Brooklyn,Point(-73.990277777 40.692777777),1
"1851-1875",Luxembourg,Point(6.132777777 49.610555555),1
"1851-1875",Odesa,Point(30.73262 46.47747),1
"1851-1875",Brăila,Point(27.9575 45.269166666),1
"1851-1875",Lisieux,Point(0.225555555 49.145555555),1
"1851-1875",Osbaldwick,Point(-1.0365 53.9585),1
"1851-1875",Barsness Township,Point(-95.428888888 45.545833333),1
"1851-1875",Ontario,Point(-85.0 50.0),1
"1851-1875",Ilfov County,Point(26.12 44.61),1
"1851-1875",Mehedinți County,Point(22.88 44.63),1
"1851-1875",Bergen op Zoom,Point(4.3 51.5),1
"1851-1875",Harper,Point(-92.051111111 41.3625),1
"1851-1875",Kemerton,Point(-2.07703 52.03603),1
"1851-1875",Kemerton,Point(-2.0785 52.0328),1
"1851-1875",Porvoo,Point(25.663888888 60.393055555),1
"1851-1875","16th arrondissement of Paris",Point(2.276488888 48.863611111),1
"1851-1875",Danlí,Point(-86.568288888 14.032438888),1
"1851-1875",Bucharest,Point(26.097777777 44.413361111),1
"1851-1875",Estivella,Point(-0.3485272 39.7133707),1
"1851-1875",Mayesville,Point(-80.207222222 33.985555555),1
"1851-1875",Florence,Point(11.254166666 43.771388888),1
"1851-1875",Varde,Point(8.480555555 55.62),1
"1851-1875",Saint Kitts,Point(-62.747222 17.319722),1
"1851-1875",Sappemeer,Point(6.7767 53.1633),1
"1851-1875",Leiria,Point(-8.806944444 39.743055555),1
"1851-1875",Hvilsager Parish,Point(10.34861111 56.37),1
"1851-1875",Odder Parish,Point(10.1533 55.9772),1
"1851-1875",Vierzon,Point(2.068333333 47.221944444),1
"1851-1875",Carnesville,Point(-83.233611111 34.371388888),1
"1851-1875","2nd arrondissement of Paris",Point(2.34047 48.86688),2
"1851-1875",Pest,Point(19.1 47.5),1
"1851-1875",Wuppertal,Point(7.183333333 51.266666666),1
"1851-1875",Viborg,Point(9.4 56.45),1
"1851-1875",Hjørring,Point(9.986666666 57.46),1
"1851-1875",Sindbjerg Parish,Point(9.558605 55.800907),1
"1851-1875",Łomża,Point(22.083333333 53.183333333),1
"1851-1875",Edo,Point(139.774444444 35.683888888),1
"1851-1875",Vilnius,Point(25.28 54.687222222),1
"1851-1875",Cap-Haïtien,Point(-72.2 19.75),1
"1851-1875",Greenock,Point(-4.766666666 55.95),1
"1851-1875",Jinošov,Point(16.193468781 49.23141358),1
"1851-1875",Kralice nad Oslavou,Point(16.201577003 49.19930908),1
"1851-1875",Pyrzyce,Point(14.891666666 53.141666666),1
"1851-1875",Ulfborg Parish,Point(8.34305556 56.29944444),1
"1851-1875",Rome,Point(12.482777777 41.893055555),1
"1851-1875",Congress Poland,Point(21.016667 52.233333),1
"1851-1875",Moss Side,Point(-2.24 53.456),1
"1851-1875",'t Zandt,Point(6.7744 53.3658),1
"1851-1875",Metz,Point(6.176944444 49.119722222),1
"1851-1875",Holly Springs,Point(-89.4464 34.7733),1
"1851-1875",Cheshire,Point(-2.583333333 53.166666666),1
"1851-1875",Peoria,Point(-89.59 40.6925),1
"1851-1875",Suwałki,Point(22.933333333 54.1),1
"1851-1875",Kharkov Governorate,Point(36.229166666 50.0),1
"1851-1875",Claines,Point(-2.213688888 52.224511111),1
"1851-1875",Clifton,Point(-2.62 51.46),1
"1851-1875",City of Brussels,Point(4.351666666 50.846666666),4
"1851-1875",Vejle Parish,Point(10.31333333 55.27161111),1
"1851-1875",Brussels-Capital Region,Point(4.3525 50.846666666),1
"1851-1875",Petersværft,Point(12.0756 54.9702),1
"1851-1875",Kristiansand Municipality,Point(7.99561111 58.14672222),2
"1851-1875",Divonne-les-Bains,Point(6.142777777 46.356666666),1
"1851-1875",Donaghadee,Point(-5.53544 54.6392),1
"1851-1875",Coulsdon,Point(-0.1386 51.3211),1
"1851-1875",Ungstein,Point(8.179761111 49.479997222),1
"1851-1875",Unterdöbling,Point(16.3513 48.2442),1
"1851-1875",Aarhus,Point(10.209722222 56.156388888),2
"1851-1875",Odense,Point(10.383333333 55.4),1
"1851-1875",Aalborg,Point(9.916666666 57.05),2
"1851-1875",Hampstead,Point(-0.1744 51.5541),1
"1851-1875",Wisła,Point(18.858888888 49.656111111),1
"1851-1875",Strijensas,Point(4.5861 51.7158),1
"1851-1875",Dordrecht,Point(4.678333333 51.795833333),1
"1851-1875",Valladolid,Point(-88.133333333 20.616666666),1
"1851-1875",Dimmit County,Point(-99.75 28.42),1
"1851-1875",Cedarville,Point(-89.6339 42.375),1
"1851-1875",Bergen,Point(5.323333333 60.3925),3
"1851-1875",Poznań,Point(16.933611111 52.408333333),1
"1851-1875",Sulingen,Point(8.8 52.666666666),1
"1851-1875",Warsaw,Point(21.011111111 52.23),6
"1851-1875","8th arrondissement of Paris",Point(2.311111111 48.874166666),1
"1851-1875",Mlečice,Point(13.696028603 49.920385916),1
"1851-1875",Nijland,Point(5.5756 53.0508),1
"1851-1875",Bremerhaven,Point(8.583333333 53.55),1
"1851-1875",Třebíč,Point(15.881675935 49.2149674),1
"1851-1875",Saint-Josse-ten-Noode,Point(4.369166666 50.850833333),2
"1851-1875",Augsburg,Point(10.897777777 48.368888888),1
"1851-1875",Sandnes Municipality,Point(5.829444 58.845),1
"1851-1875",'s-Hertogenbosch,Point(5.316666666 51.7),1
