item,itemLabel,occupationLabel
http://www.wikidata.org/entity/Q20242883,Janie Lever-Brouwer,writer
http://www.wikidata.org/entity/Q20242883,Janie Lever-Brouwer,columnist
http://www.wikidata.org/entity/Q20242883,Janie Lever-Brouwer,journalist
http://www.wikidata.org/entity/Q20242883,Janie Lever-Brouwer,children's writer
http://www.wikidata.org/entity/Q20242883,Janie Lever-Brouwer,women's rights activist
http://www.wikidata.org/entity/Q21536592,Mary Cecil Tenison Woods,writer
http://www.wikidata.org/entity/Q21536592,Mary Cecil Tenison Woods,lawyer
http://www.wikidata.org/entity/Q21536592,Mary Cecil Tenison Woods,non-fiction writer
http://www.wikidata.org/entity/Q21536592,Mary Cecil Tenison Woods,women's rights activist
http://www.wikidata.org/entity/Q21536592,Mary Cecil Tenison Woods,legal author
http://www.wikidata.org/entity/Q23688821,Nuriye Ulviye Mevlan Civelek,journalist
http://www.wikidata.org/entity/Q23688821,Nuriye Ulviye Mevlan Civelek,suffragist
http://www.wikidata.org/entity/Q23688821,Nuriye Ulviye Mevlan Civelek,women's rights activist
http://www.wikidata.org/entity/Q86289,Alice Rühle-Gerstel,writer
http://www.wikidata.org/entity/Q86289,Alice Rühle-Gerstel,nurse
http://www.wikidata.org/entity/Q86289,Alice Rühle-Gerstel,psychologist
http://www.wikidata.org/entity/Q86289,Alice Rühle-Gerstel,journalist
http://www.wikidata.org/entity/Q86289,Alice Rühle-Gerstel,women's rights activist
http://www.wikidata.org/entity/Q3051748,Else Scheuer-Insel,women's rights activist
http://www.wikidata.org/entity/Q62081415,Sigrid Ammitzbøll,civil servant
http://www.wikidata.org/entity/Q62081415,Sigrid Ammitzbøll,women's rights activist
http://www.wikidata.org/entity/Q28108988,Jeanne Eder-Schwyzer,politician
http://www.wikidata.org/entity/Q28108988,Jeanne Eder-Schwyzer,suffragette
http://www.wikidata.org/entity/Q28108988,Jeanne Eder-Schwyzer,women's rights activist
http://www.wikidata.org/entity/Q28943751,Rose Cohen,politician
http://www.wikidata.org/entity/Q28943751,Rose Cohen,suffragette
http://www.wikidata.org/entity/Q28943751,Rose Cohen,newspaper editor
http://www.wikidata.org/entity/Q28943751,Rose Cohen,suffragist
http://www.wikidata.org/entity/Q28943751,Rose Cohen,women's rights activist
http://www.wikidata.org/entity/Q29419623,Clementina Batalla de Bassls,teacher
http://www.wikidata.org/entity/Q29419623,Clementina Batalla de Bassls,lawyer
http://www.wikidata.org/entity/Q29419623,Clementina Batalla de Bassls,women's rights activist
http://www.wikidata.org/entity/Q12118486,Olena Lototska,social activist
http://www.wikidata.org/entity/Q12118486,Olena Lototska,women's rights activist
http://www.wikidata.org/entity/Q1264246,Bertha Lutz,writer
http://www.wikidata.org/entity/Q1264246,Bertha Lutz,politician
http://www.wikidata.org/entity/Q1264246,Bertha Lutz,zoologist
http://www.wikidata.org/entity/Q1264246,Bertha Lutz,botanist
http://www.wikidata.org/entity/Q1264246,Bertha Lutz,herpetologist
http://www.wikidata.org/entity/Q1264246,Bertha Lutz,women's rights activist
http://www.wikidata.org/entity/Q67145782,Vera Douie,librarian
http://www.wikidata.org/entity/Q67145782,Vera Douie,women's rights activist
http://www.wikidata.org/entity/Q6117843,Salvadora Medina Onrubia,writer
http://www.wikidata.org/entity/Q6117843,Salvadora Medina Onrubia,playwright
http://www.wikidata.org/entity/Q6117843,Salvadora Medina Onrubia,editor-in-chief
http://www.wikidata.org/entity/Q6117843,Salvadora Medina Onrubia,journalist
http://www.wikidata.org/entity/Q6117843,Salvadora Medina Onrubia,women's rights activist
http://www.wikidata.org/entity/Q122226235,Cecilia Marcovich,teacher
http://www.wikidata.org/entity/Q122226235,Cecilia Marcovich,painter
http://www.wikidata.org/entity/Q122226235,Cecilia Marcovich,sculptor
http://www.wikidata.org/entity/Q122226235,Cecilia Marcovich,women's rights activist
http://www.wikidata.org/entity/Q8263934,Liu Qingyang,politician
http://www.wikidata.org/entity/Q8263934,Liu Qingyang,women's rights activist
http://www.wikidata.org/entity/Q18355631,Florence Nagle,horse trainer
http://www.wikidata.org/entity/Q18355631,Florence Nagle,women's rights activist
http://www.wikidata.org/entity/Q56824730,Janet Okala,leader
http://www.wikidata.org/entity/Q56824730,Janet Okala,women's rights activist
http://www.wikidata.org/entity/Q19721977,Sara Rey Alvarez,writer
http://www.wikidata.org/entity/Q19721977,Sara Rey Alvarez,politician
http://www.wikidata.org/entity/Q19721977,Sara Rey Alvarez,suffragette
http://www.wikidata.org/entity/Q19721977,Sara Rey Alvarez,women's rights activist
http://www.wikidata.org/entity/Q1795535,Käthe Leichter,writer
http://www.wikidata.org/entity/Q1795535,Käthe Leichter,economist
http://www.wikidata.org/entity/Q1795535,Käthe Leichter,trade unionist
http://www.wikidata.org/entity/Q1795535,Käthe Leichter,women's rights activist
http://www.wikidata.org/entity/Q1897634,Annie Romein-Verschoor,writer
http://www.wikidata.org/entity/Q1897634,Annie Romein-Verschoor,historian
http://www.wikidata.org/entity/Q1897634,Annie Romein-Verschoor,author
http://www.wikidata.org/entity/Q1897634,Annie Romein-Verschoor,editor
http://www.wikidata.org/entity/Q1897634,Annie Romein-Verschoor,women's rights activist
http://www.wikidata.org/entity/Q110526332,Margrit Schlatter,jurist
http://www.wikidata.org/entity/Q110526332,Margrit Schlatter,women's rights activist
http://www.wikidata.org/entity/Q121891033,Felicja Stendigowa,journalist
http://www.wikidata.org/entity/Q121891033,Felicja Stendigowa,essayist
http://www.wikidata.org/entity/Q121891033,Felicja Stendigowa,women's rights activist
http://www.wikidata.org/entity/Q1370042,Esther Fahmy Wissa,politician
http://www.wikidata.org/entity/Q1370042,Esther Fahmy Wissa,suffragette
http://www.wikidata.org/entity/Q1370042,Esther Fahmy Wissa,women's rights activist
http://www.wikidata.org/entity/Q16942028,Abigail Mejia,photographer
http://www.wikidata.org/entity/Q16942028,Abigail Mejia,literary critic
http://www.wikidata.org/entity/Q16942028,Abigail Mejia,suffragist
http://www.wikidata.org/entity/Q16942028,Abigail Mejia,women's rights activist
http://www.wikidata.org/entity/Q105755377,Bella Kunvári,dentist
http://www.wikidata.org/entity/Q105755377,Bella Kunvári,numismatist
http://www.wikidata.org/entity/Q105755377,Bella Kunvári,art collector
http://www.wikidata.org/entity/Q105755377,Bella Kunvári,women's rights activist
http://www.wikidata.org/entity/Q18684593,Marie-Josèphe Réchard,women's rights activist
http://www.wikidata.org/entity/Q3372640,Paulette Nardal,writer
http://www.wikidata.org/entity/Q3372640,Paulette Nardal,journalist
http://www.wikidata.org/entity/Q3372640,Paulette Nardal,women's rights activist
http://www.wikidata.org/entity/Q3286445,Manon Cormier,writer
http://www.wikidata.org/entity/Q3286445,Manon Cormier,lawyer
http://www.wikidata.org/entity/Q3286445,Manon Cormier,official
http://www.wikidata.org/entity/Q3286445,Manon Cormier,French Resistance fighter
http://www.wikidata.org/entity/Q3286445,Manon Cormier,women's rights activist
http://www.wikidata.org/entity/Q64025621,María Luisa Sánchez Bustamante,women's rights activist
http://www.wikidata.org/entity/Q2078494,Yvonne George,actor
http://www.wikidata.org/entity/Q2078494,Yvonne George,singer
http://www.wikidata.org/entity/Q2078494,Yvonne George,stage actor
http://www.wikidata.org/entity/Q2078494,Yvonne George,women's rights activist
http://www.wikidata.org/entity/Q4358180,Mies Boissevain-van Lennep,resistance fighter
http://www.wikidata.org/entity/Q4358180,Mies Boissevain-van Lennep,women's rights activist
http://www.wikidata.org/entity/Q124021536,Julia Morán Sánchez,political activist
http://www.wikidata.org/entity/Q124021536,Julia Morán Sánchez,women's rights activist
http://www.wikidata.org/entity/Q8248716,Liu-Wang Liming,women's rights activist
http://www.wikidata.org/entity/Q96083181,Liv Hektoen Løvland,actor
http://www.wikidata.org/entity/Q96083181,Liv Hektoen Løvland,politician
http://www.wikidata.org/entity/Q96083181,Liv Hektoen Løvland,translator
http://www.wikidata.org/entity/Q96083181,Liv Hektoen Løvland,women's rights activist
http://www.wikidata.org/entity/Q5416361,Evelyn Lett,women's rights activist
http://www.wikidata.org/entity/Q20685643,Magdalena Spínola,writer
http://www.wikidata.org/entity/Q20685643,Magdalena Spínola,poet
http://www.wikidata.org/entity/Q20685643,Magdalena Spínola,journalist
http://www.wikidata.org/entity/Q20685643,Magdalena Spínola,women's rights activist
http://www.wikidata.org/entity/Q26838561,Mercedes Chacón Porras,nurse
http://www.wikidata.org/entity/Q26838561,Mercedes Chacón Porras,women's rights activist
http://www.wikidata.org/entity/Q107177901,Ramona Soldevila Cirés,activist
http://www.wikidata.org/entity/Q107177901,Ramona Soldevila Cirés,women's rights activist
http://www.wikidata.org/entity/Q107177901,Ramona Soldevila Cirés,militiaman
http://www.wikidata.org/entity/Q19801936,Agnes Nolte,teacher
http://www.wikidata.org/entity/Q19801936,Agnes Nolte,politician
http://www.wikidata.org/entity/Q19801936,Agnes Nolte,women's rights activist
http://www.wikidata.org/entity/Q19801936,Agnes Nolte,history teacher
http://www.wikidata.org/entity/Q62081232,Mélanie Oppenhejm,women's rights activist
http://www.wikidata.org/entity/Q2520719,Corry Tendeloo,lawyer
http://www.wikidata.org/entity/Q2520719,Corry Tendeloo,politician
http://www.wikidata.org/entity/Q2520719,Corry Tendeloo,women's rights activist
http://www.wikidata.org/entity/Q2576811,Willemijn Posthumus-van der Goot,writer
http://www.wikidata.org/entity/Q2576811,Willemijn Posthumus-van der Goot,economist
http://www.wikidata.org/entity/Q2576811,Willemijn Posthumus-van der Goot,resistance fighter
http://www.wikidata.org/entity/Q2576811,Willemijn Posthumus-van der Goot,women's rights activist
http://www.wikidata.org/entity/Q2042966,Oyinkan Abayomi,teacher
http://www.wikidata.org/entity/Q2042966,Oyinkan Abayomi,politician
http://www.wikidata.org/entity/Q2042966,Oyinkan Abayomi,women's rights activist
http://www.wikidata.org/entity/Q3766214,Giovanna Caleffi,women's rights activist
http://www.wikidata.org/entity/Q87263542,Nelly Cormeau,writer
http://www.wikidata.org/entity/Q87263542,Nelly Cormeau,teacher
http://www.wikidata.org/entity/Q87263542,Nelly Cormeau,philosopher
http://www.wikidata.org/entity/Q87263542,Nelly Cormeau,women's rights activist
http://www.wikidata.org/entity/Q3355,Amelia Earhart,journalist
http://www.wikidata.org/entity/Q3355,Amelia Earhart,aircraft pilot
http://www.wikidata.org/entity/Q3355,Amelia Earhart,travel writer
http://www.wikidata.org/entity/Q3355,Amelia Earhart,memoirist
http://www.wikidata.org/entity/Q3355,Amelia Earhart,women's rights activist
http://www.wikidata.org/entity/Q3355,Amelia Earhart,aviation writer
http://www.wikidata.org/entity/Q123118642,Anisa al-Khadra,women's rights activist
http://www.wikidata.org/entity/Q5400975,Ester Graff,director
http://www.wikidata.org/entity/Q5400975,Ester Graff,women's rights activist
http://www.wikidata.org/entity/Q15639161,Else Zeuthen,politician
http://www.wikidata.org/entity/Q15639161,Else Zeuthen,peace activist
http://www.wikidata.org/entity/Q15639161,Else Zeuthen,women's rights activist
http://www.wikidata.org/entity/Q5650929,Hansa Jivraj Mehta,politician
http://www.wikidata.org/entity/Q5650929,Hansa Jivraj Mehta,translator
http://www.wikidata.org/entity/Q5650929,Hansa Jivraj Mehta,academic
http://www.wikidata.org/entity/Q5650929,Hansa Jivraj Mehta,children's writer
http://www.wikidata.org/entity/Q5650929,Hansa Jivraj Mehta,activist
http://www.wikidata.org/entity/Q5650929,Hansa Jivraj Mehta,women's rights activist
http://www.wikidata.org/entity/Q16006671,Etelvina Villanueva y Saavedra,writer
http://www.wikidata.org/entity/Q16006671,Etelvina Villanueva y Saavedra,poet
http://www.wikidata.org/entity/Q16006671,Etelvina Villanueva y Saavedra,women's rights activist
http://www.wikidata.org/entity/Q16011654,Anbara Salam Khalidy,writer
http://www.wikidata.org/entity/Q16011654,Anbara Salam Khalidy,poet
http://www.wikidata.org/entity/Q16011654,Anbara Salam Khalidy,translator
http://www.wikidata.org/entity/Q16011654,Anbara Salam Khalidy,women's rights activist
http://www.wikidata.org/entity/Q51078475,Maria Golescu,medievalist
http://www.wikidata.org/entity/Q51078475,Maria Golescu,women's rights activist
http://www.wikidata.org/entity/Q21035477,Betty Mary Goetting,librarian
