item,itemLabel,year
http://www.wikidata.org/entity/Q1334902,Ottilie Baader,1847
http://www.wikidata.org/entity/Q266912,Gina Krog,1847
http://www.wikidata.org/entity/Q274171,Eliška Krásnohorská,1847
http://www.wikidata.org/entity/Q442818,Millicent Garrett Fawcett,1847
http://www.wikidata.org/entity/Q1672973,Irma Troll-Borostyáni,1847
http://www.wikidata.org/entity/Q2064966,Mietje Rutgers-Hoitsema,1847
http://www.wikidata.org/entity/Q4956090,Charlotte Jacobs,1847
http://www.wikidata.org/entity/Q47091499,Blanche Lefebvre,1847
http://www.wikidata.org/entity/Q7367933,Rose Scott,1847
http://www.wikidata.org/entity/Q7563964,Soteria Aliberty,1847
http://www.wikidata.org/entity/Q26430570,Ida Sträuli-Knüsli,1847
http://www.wikidata.org/entity/Q455072,Kate Sheppard,1847
http://www.wikidata.org/entity/Q541929,Louisa Lawson,1848
http://www.wikidata.org/entity/Q1338076,Emma Paterson,1848
http://www.wikidata.org/entity/Q75209,Helene Lange,1848
http://www.wikidata.org/entity/Q448953,Hubertine Auclert,1848
http://www.wikidata.org/entity/Q3189268,Julie Siegfried,1848
http://www.wikidata.org/entity/Q4955185,Cornélie Huygens,1848
http://www.wikidata.org/entity/Q5920798,Isabel Muñoz-Caravaca,1848
http://www.wikidata.org/entity/Q6499284,Laura Ormiston Chant,1848
http://www.wikidata.org/entity/Q61884010,Ingeborg Tolderlund,1848
http://www.wikidata.org/entity/Q12326083,Marie Luplau,1848
http://www.wikidata.org/entity/Q112919225,Adèle Kassky,1848
http://www.wikidata.org/entity/Q17421988,Marie de Villermont,1848
http://www.wikidata.org/entity/Q18018159,Adele Zay,1848
http://www.wikidata.org/entity/Q98372459,Karoline Blondein,1848
http://www.wikidata.org/entity/Q238443,Ellen Key,1849
http://www.wikidata.org/entity/Q243068,Anne Charlotte Leffler,1849
http://www.wikidata.org/entity/Q1744240,Laura Kieler,1849
http://www.wikidata.org/entity/Q62080055,Frida Schmidt,1849
http://www.wikidata.org/entity/Q1395828,Henrietta Edwards,1849
http://www.wikidata.org/entity/Q1243554,Henriëtte van der Mey,1850
http://www.wikidata.org/entity/Q1329930,Elisabeth Gnauck-Kühne,1850
http://www.wikidata.org/entity/Q55750,Tarabai Shinde,1850
http://www.wikidata.org/entity/Q3257335,Lizzie Holmes,1850
http://www.wikidata.org/entity/Q64767739,Louise Popelin,1850
http://www.wikidata.org/entity/Q4691673,Agda Montelius,1850
http://www.wikidata.org/entity/Q4766181,Ann-Margret Holmgren,1850
http://www.wikidata.org/entity/Q55622481,Maude Edwards,1850
http://www.wikidata.org/entity/Q56612706,Mary Atkinson,1850
http://www.wikidata.org/entity/Q11958432,Antonie Løchen,1850
http://www.wikidata.org/entity/Q11991392,Nielsine Nielsen,1850
http://www.wikidata.org/entity/Q61039320,Raymunda Torres y Quiroga,1850
http://www.wikidata.org/entity/Q16066436,Aline Valette,1850
http://www.wikidata.org/entity/Q20017550,Geertruida Römelingh,1850
http://www.wikidata.org/entity/Q20031792,Lucretia Jacoba Baart,1850
http://www.wikidata.org/entity/Q23005614,Pauline Chaponnière-Chaix,1850
http://www.wikidata.org/entity/Q124628416,Ernesta Galletti Stoppa,1850
http://www.wikidata.org/entity/Q2468997,Yelizaveta Kovalskaya,1851
http://www.wikidata.org/entity/Q2707971,Elisabeth Dmitrieff,1851
http://www.wikidata.org/entity/Q2851175,Anne Levinck,1851
http://www.wikidata.org/entity/Q1593368,Hedwig Kettler,1851
http://www.wikidata.org/entity/Q2055947,Nellie van Kol,1851
http://www.wikidata.org/entity/Q28927558,Juana Roldán,1851
