item,itemLabel,year,lieunaissance,lieunaissanceLabel,coordinates
http://www.wikidata.org/entity/Q260378,Victoria Woodhull,1838,http://www.wikidata.org/entity/Q12833513,Homer,Point(-82.519 40.2527)
http://www.wikidata.org/entity/Q63443317,Susan H. Wixon,1839,http://www.wikidata.org/entity/Q1189434,Dennis Port,Point(-70.1367 41.6639)
http://www.wikidata.org/entity/Q16737718,Kalliopē A. Kechagia,1839,http://www.wikidata.org/entity/Q40738,Bursa,Point(29.080538888 40.191330555)
http://www.wikidata.org/entity/Q55720283,Martha Schofield,1839,http://www.wikidata.org/entity/Q154531,Newtown Township,Point(-74.936111111 40.229722222)
http://www.wikidata.org/entity/Q87555,Marianne Hainisch,1839,http://www.wikidata.org/entity/Q486450,Baden,Point(16.234444444 48.0075)
http://www.wikidata.org/entity/Q563536,Anna Vorwerk,1839,http://www.wikidata.org/entity/Q39596,Königslutter am Elm,Point(10.816666666 52.25)
http://www.wikidata.org/entity/Q111039063,Florestine Mauriceau,1839,http://www.wikidata.org/entity/Q428144,Mézières-en-Drouais,Point(1.425277777 48.723888888)
http://www.wikidata.org/entity/Q2407913,Isabelle Gatti de Gamond,1839,http://www.wikidata.org/entity/Q15149909,former 12th arrondissement of Paris,Point(2.344583 48.846206)
http://www.wikidata.org/entity/Q2019499,Mina Kruseman,1839,http://www.wikidata.org/entity/Q2375289,Velp,Point(5.9758 51.9947)
http://www.wikidata.org/entity/Q2091245,Helena Mercier,1839,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
http://www.wikidata.org/entity/Q3372612,Paule Mink,1839,http://www.wikidata.org/entity/Q42168,Clermont-Ferrand,Point(3.086944444 45.779722222)
http://www.wikidata.org/entity/Q55188201,Margarita Pérez de Celis,1840,http://www.wikidata.org/entity/Q15682,Cádiz,Point(-6.2975 36.535)
http://www.wikidata.org/entity/Q18539981,Cornelia Emilian,1840,http://www.wikidata.org/entity/Q207196,Zlatna,Point(23.221111111 46.158888888)
http://www.wikidata.org/entity/Q16030556,Helen Bright Clark,1840,http://www.wikidata.org/entity/Q474605,Rochdale,Point(-2.161 53.6136)
http://www.wikidata.org/entity/Q12326428,Matilde Bajer,1840,http://www.wikidata.org/entity/Q21178,Næstved,Point(11.76666667 55.23333333)
http://www.wikidata.org/entity/Q19900613,Céline Renooz,1840,http://www.wikidata.org/entity/Q3992,Liège,Point(5.570555555 50.639722222)
http://www.wikidata.org/entity/Q110132814,Charlotte Carmichael Stopes,1840,http://www.wikidata.org/entity/Q23436,Edinburgh,Point(-3.189166666 55.953333333)
http://www.wikidata.org/entity/Q1237820,Ion Hanford Perdicaris,1840,http://www.wikidata.org/entity/Q1524,Athens,Point(23.728055555 37.984166666)
http://www.wikidata.org/entity/Q1435129,Ottilie von Hansemann,1840,http://www.wikidata.org/entity/Q3104,Koblenz,Point(7.597777777 50.359722222)
http://www.wikidata.org/entity/Q19629438,Draga Dejanović,1840,http://www.wikidata.org/entity/Q856309,Kanjiža,Point(20.05 46.066666666)
http://www.wikidata.org/entity/Q4951333,Sofia Gumaelius,1840,http://www.wikidata.org/entity/Q25732,Örebro,Point(15.196522467 59.266926001)
http://www.wikidata.org/entity/Q21070127,Alwina Gossauer,1841,http://www.wikidata.org/entity/Q688539,Rapperswil,Point(8.82228 47.22557)
http://www.wikidata.org/entity/Q451495,Elfrida Andrée,1841,http://www.wikidata.org/entity/Q10716051,Visby parish,Point(18.2975 57.641666666)
http://www.wikidata.org/entity/Q526994,Mathilde Blind,1841,http://www.wikidata.org/entity/Q2119,Mannheim,Point(8.466111111 49.487777777)
http://www.wikidata.org/entity/Q29293006,Aleksandra Nikolajewna Jakobi,1841,http://www.wikidata.org/entity/Q135572,Yegoryevsk,Point(39.016666666 55.366666666)
http://www.wikidata.org/entity/Q16663053,Marie Catherine Rogissart,1841,http://www.wikidata.org/entity/Q922714,Neufmanil,Point(4.795277777 49.810277777)
http://www.wikidata.org/entity/Q14100643,Piet Meuleman,1841,http://www.wikidata.org/entity/Q506745,Rijswijk,Point(4.33 52.045555555)
http://www.wikidata.org/entity/Q19059778,Elise Haighton,1841,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
http://www.wikidata.org/entity/Q125536673,Elizabeth Rhŷs,1841,http://www.wikidata.org/entity/Q1638504,Llanberis,Point(-4.128611111 53.120833333)
http://www.wikidata.org/entity/Q16058886,Eliska Vincent,1841,http://www.wikidata.org/entity/Q428144,Mézières-en-Drouais,Point(1.425277777 48.723888888)
http://www.wikidata.org/entity/Q543970,Lilli Suburg,1841,http://www.wikidata.org/entity/Q3465196,Rõusa,Point(25.115833333 58.673888888)
http://www.wikidata.org/entity/Q1812225,Anna van Hogendorp,1841,http://www.wikidata.org/entity/Q36600,The Hague,Point(4.31 52.08)
http://www.wikidata.org/entity/Q3132460,Henriette Dachsbeck,1841,http://www.wikidata.org/entity/Q239,City of Brussels,Point(4.351666666 50.846666666)
http://www.wikidata.org/entity/Q75202,Minna Cauer,1841,http://www.wikidata.org/entity/Q159572,Wittstock/Dosse,Point(12.485617 53.163294)
http://www.wikidata.org/entity/Q75202,Minna Cauer,1841,http://www.wikidata.org/entity/Q1455989,Freyenstein,Point(12.3539 53.2872)
http://www.wikidata.org/entity/Q29293006,Aleksandra Nikolajewna Jakobi,1842,http://www.wikidata.org/entity/Q135572,Yegoryevsk,Point(39.016666666 55.366666666)
http://www.wikidata.org/entity/Q97038384,Aikaterini Laskaridou,1842,http://www.wikidata.org/entity/Q1741,Vienna,Point(16.3725 48.208333333)
http://www.wikidata.org/entity/Q4953287,Rosina Heikel,1842,http://www.wikidata.org/entity/Q1735037,Kaskinen,Point(21.222222222 62.384722222)
http://www.wikidata.org/entity/Q2551409,Isala Van Diest,1842,http://www.wikidata.org/entity/Q118958,Leuven,Point(4.704444 50.8775)
http://www.wikidata.org/entity/Q119262,Caroline Farner,1842,http://www.wikidata.org/entity/Q1554942,Guntershausen bei Berg,Point(9.18837 47.572)
http://www.wikidata.org/entity/Q66124267,Mariana Osório de Castro,1842,http://www.wikidata.org/entity/Q597,Lisbon,Point(-9.139016 38.708042)
http://www.wikidata.org/entity/Q18819413,Eliza Sturge,1842,http://www.wikidata.org/entity/Q3047556,Edgbaston,Point(-1.919047222 52.45805)
http://www.wikidata.org/entity/Q463046,Phoebe Hearst,1842,http://www.wikidata.org/entity/Q279727,Saint Clair,Point(-90.982777777 38.349722222)
http://www.wikidata.org/entity/Q78144591,Linda Slaughter,1843,http://www.wikidata.org/entity/Q1925015,Cadiz,Point(-80.99556 40.27056)
http://www.wikidata.org/entity/Q99662674,Camilla Vedøe,1843,http://www.wikidata.org/entity/Q4588876,Jelsa,Point(6.034277777 59.335527777)
http://www.wikidata.org/entity/Q56248379,Frances Murray,1843,http://www.wikidata.org/entity/Q60,New York City,Point(-74.0 40.7)
http://www.wikidata.org/entity/Q19059740,Hendrina Commelin,1843,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
http://www.wikidata.org/entity/Q5556933,Poul Georg Andræ,1843,http://www.wikidata.org/entity/Q1748,Copenhagen,Point(12.568888888 55.676111111)
http://www.wikidata.org/entity/Q18353451,Emilie de Morsier,1843,http://www.wikidata.org/entity/Q63922,Vernier,Point(6.1 46.2)
http://www.wikidata.org/entity/Q1255008,Guiomar Torrezão,1844,http://www.wikidata.org/entity/Q597,Lisbon,Point(-9.139016 38.708042)
http://www.wikidata.org/entity/Q1255008,Guiomar Torrezão,1844,http://www.wikidata.org/entity/Q980847,São Julião,Point(-8.89631 38.53487)
http://www.wikidata.org/entity/Q1255008,Guiomar Torrezão,1844,http://www.wikidata.org/entity/Q980847,São Julião,Point(-8.894722222 38.533888888)
http://www.wikidata.org/entity/Q11860057,Fredrika Wetterhoff,1844,http://www.wikidata.org/entity/Q1757,Helsinki,Point(24.9375 60.170833333)
http://www.wikidata.org/entity/Q21294794,Maria Pognon,1844,http://www.wikidata.org/entity/Q231720,Honfleur,Point(0.233055555 49.418888888)
http://www.wikidata.org/entity/Q60644803,Johanne Münter,1844,http://www.wikidata.org/entity/Q690062,Rønne,Point(14.7 55.1)
http://www.wikidata.org/entity/Q10327831,May Wright Sewall,1844,http://www.wikidata.org/entity/Q182877,Greenfield,Point(-87.995833333 42.963055555)
http://www.wikidata.org/entity/Q3292687,Marie Maugeret,1844,http://www.wikidata.org/entity/Q627872,Le Lude,Point(0.153055555 47.645)
http://www.wikidata.org/entity/Q51775,Harriet Williams Russell Strong,1844,http://www.wikidata.org/entity/Q40435,Buffalo,Point(-78.878055555 42.886388888)
http://www.wikidata.org/entity/Q5408602,Eugénie Potonié-Pierre,1844,http://www.wikidata.org/entity/Q71724,Lorient,Point(-3.366388888 47.745833333)
http://www.wikidata.org/entity/Q98284587,Ida Baumann,1845,http://www.wikidata.org/entity/Q630163,Schwarzburg-Sondershausen,
http://www.wikidata.org/entity/Q6077680,Isabel Le Brun,1845,http://www.wikidata.org/entity/Q187802,San Felipe,Point(-70.7251 -32.7507)
http://www.wikidata.org/entity/Q62079539,Anna Laursen,1845,http://www.wikidata.org/entity/Q41205171,Q41205171,Point(11.3319 55.3936)
http://www.wikidata.org/entity/Q62080580,Jaquette Liljencrantz,1845,http://www.wikidata.org/entity/Q10546040,Klara Church Parish,Point(18.061666666 59.331111111)
http://www.wikidata.org/entity/Q4948816,Kirstine Frederiksen,1845,http://www.wikidata.org/entity/Q5507294,Fuglsang Manor,Point(11.7977 54.7219)
http://www.wikidata.org/entity/Q543726,Mercedes Cabello,1845,http://www.wikidata.org/entity/Q1000346,Moquegua,Point(-70.933333 -17.2)
http://www.wikidata.org/entity/Q4957496,Erna Juel-Hansen,1845,http://www.wikidata.org/entity/Q1748,Copenhagen,Point(12.568888888 55.676111111)
http://www.wikidata.org/entity/Q30302781,Gisèle d'Estoc,1845,http://www.wikidata.org/entity/Q40898,Nancy,Point(6.183611111 48.692777777)
