"fk_personne","personne","gender","zone_geo","annee_naissance","domaines","eff"
http://www.wikidata.org/entity/Q1194361,Sen Katayama,M,Asie ,1859,"enseignement,politique,autre,acti_droits_humains,ecrivain_ne,politique",6
http://www.wikidata.org/entity/Q119194,Cristina Perincioli,F,Europe,1946,"cinema_TV,ecrivain_ne,cinema_TV,cinema_TV,ecrivain_ne,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q11887010,Pauliina Feodoroff,F,Europe,1977,"cinema_TV,ecrivain_ne,acti_droits_humains,cinema_TV,artiste,acti_climat",6
http://www.wikidata.org/entity/Q11780564,Mihai Botez,M,Europe,1940,"politique,sciences_experimentales,politique,politique,acti_droits_humains,politique",6
http://www.wikidata.org/entity/Q116477533,Lourdes Huanca,F,Amérique du sud,1951,"acti_droits_humains,politique,acti_droits_femmes,acti_droits_humains,politique,acti_droits_femmes",6
http://www.wikidata.org/entity/Q115698704,Malbert,M,Europe,1994,"autre,cinema_TV,cinema_TV,autre,acti_droits_LGBT,autre",6
http://www.wikidata.org/entity/Q115624884,Joumana Seif,F,Asie ,1970,"droit,acti_droits_humains,acti_droits_femmes,droit,acti_droits_humains,acti_droits_femmes",6
http://www.wikidata.org/entity/Q114756162,Daiana Santos,F,Amérique du sud,1982,"politique,acti_droits_humains,acti_droits_LGBT,politique,acti_droits_humains,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q1145636,Toni Reis,M,Amérique du sud,1964,"enseignement,acti_droits_humains,acti_droits_LGBT,enseignement,acti_droits_humains,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q112323640,Villano Antillano,LGBTQ,Amérique du nord,1995,"artiste,artiste,artiste,artiste,artiste,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q112117587,Clara Rosa Gagliardone Rivarola,F,Amérique du sud,1948,"droit,acti_droits_humains,acti_droits_femmes,droit,acti_droits_humains,acti_droits_femmes",6
http://www.wikidata.org/entity/Q110810893,Linda Brasil,LGBTQ,Amérique du sud,1973,"politique,acti_droits_humains,acti_droits_LGBT,politique,acti_droits_humains,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q110101013,Melanie Berentz,F,Asie ,1999,"cinema_TV,ecrivain_ne,acti_droits_humains,autre,cinema_TV,politique",6
http://www.wikidata.org/entity/Q109568678,Lê Quang Bình,M,Asie ,1975,"acti_droits_humains,SHS,acti_droits_LGBT,acti_droits_humains,SHS,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q1095182,Clara Gertrud Wichmann,F,Europe,1885,"ecrivain_ne,droit,ecrivain_ne,cinema_TV,politique,acti_droits_femmes",6
http://www.wikidata.org/entity/Q108546121,Bryanna Nasck,LGBTQ,Amérique du sud,1994,"autre,autre,autre,autre,acti_droits_LGBT,autre",6
http://www.wikidata.org/entity/Q107082,Mary Harris Jones,F,Europe,1830,"ecrivain_ne,enseignement,acti_droits_humains,autre,politique,autre",6
http://www.wikidata.org/entity/Q106209,Alice Salomon,F,Europe,1872,"ecrivain_ne,SHS,enseignement,enseignement,politique,acti_droits_femmes",6
http://www.wikidata.org/entity/Q106089168,Emilio Velásquez Ruiz,M,Amérique du sud,1949,"autre,acti_droits_humains,acti_droits_LGBT,autre,acti_droits_humains,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q104904740,Marilyse Hamelin,F,Amérique du nord,1980,"ecrivain_ne,autre,cinema_TV,ecrivain_ne,ecrivain_ne,acti_droits_femmes",6
http://www.wikidata.org/entity/Q104595282,Aderonke Apata,F,Afrique,1967,"droit,acti_droits_humains,acti_droits_LGBT,droit,acti_droits_humains,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q104494873,Freshta Kohistan,F,Asie ,1991,"politique,acti_droits_humains,acti_droits_femmes,politique,acti_droits_humains,acti_droits_femmes",6
http://www.wikidata.org/entity/Q102527794,Ana Polo,F,Europe,1990,"cinema_TV,cinema_TV,ecrivain_ne,artiste,cinema_TV,acti_droits_femmes",6
http://www.wikidata.org/entity/Q102267785,Ishtar Lakhani,F,Afrique,1985,"acti_droits_humains,autre,acti_droits_femmes,acti_droits_humains,autre,acti_droits_femmes",6
http://www.wikidata.org/entity/Q99534387,Claudine Rey,F,Europe,1938,"autre,ecrivain_ne,politique,politique,acti_droits_femmes",5
